Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2020-09-13,Barbell Squat,Legs,45.0,10,,,
2020-09-13,Barbell Squat,Legs,75.0,8,,,
2020-09-13,Barbell Squat,Legs,95.0,6,,,
2020-09-13,Barbell Squat,Legs,115.0,5,,,
2020-09-13,Barbell Squat,Legs,135.0,5,,,
2020-09-13,Barbell Squat,Legs,135.0,5,,,
2020-09-13,Barbell Squat,Legs,135.0,7,,,
2020-09-13,Romanian Deadlift,Legs,45.0,12,,,
2020-09-13,Romanian Deadlift,Legs,55.0,12,,,
2020-09-13,Romanian Deadlift,Legs,65.0,10,,,
2020-09-13,Romanian Deadlift,Legs,65.0,10,,,
2020-09-13,Romanian Deadlift,Legs,65.0,12,,,
2020-09-13,Barbell Front Squat,Legs,45.0,12,,,
2020-09-13,Barbell Front Squat,Legs,45.0,10,,,
2020-09-13,Barbell Front Squat,Legs,45.0,10,,,
2020-09-13,Lying Leg Curl,Legs,35.0,12,,,
2020-09-13,Lying Leg Curl,Legs,35.0,12,,,
2020-09-13,Lying Leg Curl,Legs,35.0,12,,,
2020-09-15,Flat Barbell Bench Press,Chest,45.0,10,,,
2020-09-15,Flat Barbell Bench Press,Chest,75.0,8,,,
2020-09-15,Flat Barbell Bench Press,Chest,95.0,6,,,
2020-09-15,Flat Barbell Bench Press,Chest,135.0,5,,,
2020-09-15,Flat Barbell Bench Press,Chest,135.0,4,,,
2020-09-15,Flat Barbell Bench Press,Chest,135.0,5,,,
2020-09-15,Flat Barbell Bench Press,Chest,135.0,5,,,
2020-09-15,Flat Barbell Bench Press,Chest,135.0,4,,,
2020-09-15,Overhead Press,Shoulders,45.0,10,,,
2020-09-15,Overhead Press,Shoulders,65.0,10,,,
2020-09-15,Overhead Press,Shoulders,75.0,8,,,
2020-09-15,Overhead Press,Shoulders,75.0,7,,,
2020-09-15,Incline Barbell Bench Press,Chest,85.0,8,,,
2020-09-15,Incline Barbell Bench Press,Chest,85.0,5,,,
2020-09-15,Incline Barbell Bench Press,Chest,75.0,6,,,
2020-09-15,Rope Push Down,Triceps,50.0,12,,,
2020-09-15,Lateral Dumbbell Raise,Shoulders,8.0,20,,,
2020-09-15,Rope Push Down,Triceps,50.0,12,,,
2020-09-15,Lateral Dumbbell Raise,Shoulders,8.0,15,,,
2020-09-15,Rope Push Down,Triceps,60.0,12,,,
